n = 8  tau_r =  1  (158 s, 24 pairs x 300 instances)
n = 8  tau_r =  2  (198 s, 24 pairs x 300 instances)
n = 8  tau_r =  4  (202 s, 24 pairs x 300 instances)
n = 8  tau_r =  8  (215 s, 24 pairs x 300 instances)
n = 8  tau_r = 16  (228 s, 24 pairs x 300 instances)
n = 10  tau_r =  1  (365 s, 24 pairs x 300 instances)
n = 10  tau_r =  2  (344 s, 24 pairs x 300 instances)
n = 10  tau_r =  4  (348 s, 24 pairs x 300 instances)
n = 10  tau_r = 10  (362 s, 24 pairs x 300 instances)
n = 10  tau_r = 20  (384 s, 24 pairs x 300 instances)

  n  tau base    kind     t       F     Corr     deep   excess     se
 10    4    1   layer  0.05  0.9600  +0.9693  +0.9600  +0.0093  0.003
 10    4    1   layer  0.12  0.7883  +0.8277  +0.7881  +0.0396  0.018
 10    4    1   layer  0.25  0.3425  +0.3449  +0.3418  +0.0031  0.051
 10    4    1   layer  0.50  0.0069  +0.0393  +0.0060  +0.0334  0.058
 10   10    0  global  0.05  0.7760  +0.7910  +0.7758  +0.0152  0.022
 10   10    0  global  0.12  0.2347  +0.3520  +0.2339  +0.1181  0.051
 10   10    0  global  0.25  0.0007  -0.0208  -0.0003  -0.0205  0.058
 10   10    0  global  0.50  0.0002  +0.0236  -0.0008  +0.0244  0.058
 10   10    0    gate  0.05  0.9938  +0.9963  +0.9938  +0.0025  0.000
 10   10    0    gate  0.12  0.9646  +0.9788  +0.9646  +0.0142  0.002
 10   10    0    gate  0.25  0.8551  +0.9070  +0.8549  +0.0521  0.010
 10   10    0    gate  0.50  0.5304  +0.6218  +0.5300  +0.0919  0.035
 10   10    0   layer  0.05  0.9533  +0.9634  +0.9532  +0.0102  0.004
 10   10    0   layer  0.12  0.7581  +0.7855  +0.7579  +0.0276  0.022
 10   10    0   layer  0.25  0.2986  +0.2679  +0.2980  -0.0301  0.054
 10   10    0   layer  0.50  0.0072  -0.0720  +0.0062  -0.0783  0.057
 10   10    1  global  0.05  0.8053  +0.8466  +0.8051  +0.0415  0.016
 10   10    1  global  0.12  0.3014  +0.3009  +0.3007  +0.0002  0.053
 10   10    1  global  0.25  0.0092  -0.0220  +0.0082  -0.0302  0.058
 10   10    1  global  0.50  0.0021  +0.0687  +0.0012  +0.0675  0.057
 10   10    1    gate  0.05  0.9926  +0.9947  +0.9926  +0.0021  0.001
 10   10    1    gate  0.12  0.9577  +0.9709  +0.9576  +0.0133  0.003
 10   10    1    gate  0.25  0.8268  +0.8863  +0.8266  +0.0596  0.012
 10   10    1    gate  0.50  0.4528  +0.6015  +0.4523  +0.1493  0.037
 10   10    1   layer  0.05  0.9596  +0.9749  +0.9596  +0.0153  0.003
 10   10    1   layer  0.12  0.7909  +0.8641  +0.7907  +0.0734  0.015
 10   10    1   layer  0.25  0.3734  +0.4448  +0.3728  +0.0720  0.046
 10   10    1   layer  0.50  0.0240  +0.0449  +0.0231  +0.0219  0.058
 10   20    0  global  0.05  0.8152  +0.7919  +0.8151  -0.0232  0.022
 10   20    0  global  0.12  0.3111  +0.2125  +0.3104  -0.0979  0.055
 10   20    0  global  0.25  0.0107  -0.0245  +0.0098  -0.0343  0.058
 10   20    0  global  0.50  0.0006  +0.0202  -0.0004  +0.0206  0.058
 10   20    0    gate  0.05  0.9903  +0.9920  +0.9903  +0.0018  0.001
 10   20    0    gate  0.12  0.9442  +0.9550  +0.9442  +0.0108  0.005
 10   20    0    gate  0.25  0.7733  +0.8170  +0.7731  +0.0439  0.019
 10   20    0    gate  0.50  0.3421  +0.4395  +0.3415  +0.0980  0.047
 10   20    0   layer  0.05  0.9458  +0.9512  +0.9458  +0.0054  0.006
 10   20    0   layer  0.12  0.7239  +0.7536  +0.7237  +0.0300  0.025
 10   20    0   layer  0.25  0.2384  +0.3275  +0.2377  +0.0898  0.052
 10   20    0   layer  0.50  0.0004  -0.0508  -0.0006  -0.0502  0.058
 10   20    1  global  0.05  0.8626  +0.8255  +0.8625  -0.0370  0.018
 10   20    1  global  0.12  0.4478  +0.3467  +0.4473  -0.1006  0.051
 10   20    1  global  0.25  0.0439  +0.0328  +0.0430  -0.0102  0.058
 10   20    1  global  0.50  0.0023  +0.0320  +0.0013  +0.0307  0.058
 10   20    1    gate  0.05  0.9911  +0.9907  +0.9911  -0.0003  0.001
 10   20    1    gate  0.12  0.9491  +0.9464  +0.9491  -0.0027  0.006
 10   20    1    gate  0.25  0.7940  +0.7827  +0.7938  -0.0112  0.022
 10   20    1    gate  0.50  0.3874  +0.3746  +0.3868  -0.0122  0.050
 10   20    1   layer  0.05  0.9548  +0.9594  +0.9548  +0.0047  0.005
 10   20    1   layer  0.12  0.7685  +0.7725  +0.7683  +0.0042  0.023
 10   20    1   layer  0.25  0.3289  +0.3067  +0.3283  -0.0215  0.052
 10   20    1   layer  0.50  0.0205  +0.0434  +0.0195  +0.0238  0.058
wrote /Users/ilyesjamoussi/Desktop/peaked-circuits/peaked-circuit-landscape/theory/kernel_robust.png
